decade,nominal,measured
0.01,0.09,0.096516
0.01,0.09,0.096439
0.01,0.09,0.096772
0.01,0.09,0.09649
0.01,0.09,0.096927
0.01,0.09,0.096593
0.01,0.09,0.096439
0.01,0.09,0.096516
0.01,0.09,0.096516
0.01,0.09,0.096747
0.01,0.09,0.096772
0.01,0.09,0.09667
0.01,0.09,0.09649
0.01,0.09,0.096695
0.01,0.09,0.096721
0.01,0.09,0.096464
0.01,0.09,0.096413
0.01,0.09,0.09631
0.01,0.09,0.096875
0.01,0.09,0.096593
0.01,0.09,0.096695
0.01,0.09,0.096772
0.01,0.09,0.096361
0.01,0.09,0.096541
0.01,0.09,0.096567
0.01,0.09,0.09631
0.01,0.09,0.096593
0.01,0.09,0.096541
0.01,0.09,0.096798
0.01,0.09,0.096207
0.01,0.09,0.096618
0.01,0.09,0.09649
0.01,0.09,0.096644
0.01,0.09,0.096824
0.01,0.09,0.096413
0.01,0.09,0.096387
0.01,0.09,0.096439
0.01,0.1,0.106713
0.01,0.1,0.106533
0.01,0.1,0.106841
0.01,0.1,0.106456
0.01,0.1,0.106636
0.01,0.1,0.10643
0.01,0.1,0.106739
0.01,0.1,0.106174
0.01,0.1,0.106456
0.01,0.1,0.106918
0.01,0.1,0.106533
0.01,0.1,0.106918
0.01,0.1,0.106636
0.01,0.1,0.106379
0.01,0.1,0.106533
0.01,0.1,0.106585
0.01,0.1,0.106687
0.01,0.1,0.10643
0.01,0.1,0.106816
0.01,0.1,0.106662
0.01,0.1,0.10661
0.01,0.1,0.106559
0.01,0.1,0.106482
0.01,0.1,0.106276
0.01,0.1,0.10661
0.01,0.1,0.106456
0.01,0.1,0.106456
0.01,0.1,0.106456
0.01,0.1,0.106687
0.01,0.1,0.106482
0.01,0.1,0.106507
0.01,0.1,0.106636
0.01,0.1,0.106379
0.01,0.1,0.106533
0.01,0.1,0.10661
0.01,0.1,0.106662
0.01,0.1,0.106559
0.01,0.1,0.10661
0.01,0.1,0.106687
0.01,0.1,0.106276
0.01,0.1,0.106585
0.01,0.1,0.106456
0.01,0.1,0.106379
0.01,0.1,0.106533
0.01,0.1,0.106739
0.01,0.1,0.106225
0.01,0.1,0.106597
0.01,0.1,0.106353
0.01,0.1,0.105968
0.01,0.1,0.107869
0.01,0.1,0.10679
0.01,0.1,0.106533
0.01,0.1,0.106662
0.01,0.1,0.106315
0.01,0.1,0.106585
0.01,0.1,0.106199
0.01,0.1,0.106687
0.01,0.1,0.106379
0.01,0.1,0.106302
0.01,0.1,0.106867
0.01,0.1,0.106636
0.01,0.1,0.106174
0.01,0.1,0.106713
0.01,0.1,0.106687
0.01,0.1,0.10661
0.01,0.1,0.106623
0.01,0.1,0.106482
0.01,0.1,0.106482
0.01,0.1,0.106405
0.01,0.1,0.106533
0.01,0.1,0.106713
0.01,0.1,0.10643
0.01,0.1,0.106456
0.01,0.1,0.106944
0.01,0.1,0.10643
0.01,0.1,0.106379
0.01,0.1,0.106122
0.01,0.1,0.106148
0.01,0.1,0.106507
0.01,0.1,0.106533
0.01,0.1,0.106687
0.01,0.1,0.106739
0.01,0.1,0.106456
0.01,0.1,0.106559
0.01,0.1,0.106662
0.01,0.1,0.106379
0.01,0.1,0.106482
0.01,0.1,0.106456
